"agegrp","sex","number_of_new_comers_cycle52","number_of_new_comers_cycle104","number_of_new_comers_cycle156"
"10_11","Male",4.00530517659764,6.85554583553288,51.9945764885968
"10_11","Female",2.11380273195319,2.93221036660668,15.0600280523982
"12_13","Male",4.00530517659764,6.85554583553288,51.9945764885968
"12_13","Female",2.11380273195319,2.93221036660668,15.0600280523982
"14_15","Male",4.00530517659764,6.85554583553288,51.9945764885968
"14_15","Female",2.11380273195319,2.93221036660668,15.0600280523982
"16_17","Male",4.00530517659764,6.85554583553288,51.9945764885968
"16_17","Female",2.11380273195319,2.93221036660668,15.0600280523982
"18_19","Male",4.00530517659764,6.85554583553288,51.9945764885968
"18_19","Female",2.11380273195319,2.93221036660668,15.0600280523982
"20_21","Male",9.73831258613864,13.3247745385323,67.1454644387468
"20_21","Female",3.31890428946895,6.01008129138172,42.84044179008
"22_23","Male",9.73831258613864,13.3247745385323,67.1454644387468
"22_23","Female",3.31890428946895,6.01008129138172,42.84044179008
"24_25","Male",7.06290912835284,10.0806605854129,60.626266775039
"24_25","Female",2.32245300162016,3.9344183374825,37.9907947475657
"26_27","Male",4.38750567056704,6.83654663229352,54.1070691113312
"26_27","Female",1.32600171377138,1.85875538358328,33.1411477050513
"28_29","Male",4.38750567056704,6.83654663229352,54.1070691113312
"28_29","Female",1.32600171377138,1.85875538358328,33.1411477050513
"30_31","Male",4.38750567056704,6.83654663229352,54.1070691113312
"30_31","Female",1.32600171377138,1.85875538358328,33.1411477050513
"32_33","Male",4.38750567056704,6.83654663229352,54.1070691113312
"32_33","Female",1.32600171377138,1.85875538358328,33.1411477050513
"34_35","Male",2.46610318727872,4.01358168431313,30.9302235264187
"34_35","Female",0.769600994659465,1.33469402756449,18.1833370376241
"36_37","Male",0.5447007039904,1.19061673633273,7.7533779415062
"36_37","Female",0.213200275547555,0.810632671545692,3.22552637019691
"38_39","Male",0.5447007039904,1.19061673633273,7.7533779415062
"38_39","Female",0.213200275547555,0.810632671545692,3.22552637019691
"40_41","Male",0.5447007039904,1.19061673633273,7.7533779415062
"40_41","Female",0.213200275547555,0.810632671545692,3.22552637019691
"42_43","Male",0.5447007039904,1.19061673633273,7.7533779415062
"42_43","Female",0.213200275547555,0.810632671545692,3.22552637019691
"44_45","Male",0.5447007039904,1.19061673633273,7.7533779415062
"44_45","Female",0.213200275547555,0.810632671545692,3.22552637019691
"46_47","Male",0.5447007039904,1.19061673633273,7.7533779415062
"46_47","Female",0.213200275547555,0.810632671545692,3.22552637019691
"48_49","Male",0.5447007039904,1.19061673633273,7.7533779415062
"48_49","Female",0.213200275547555,0.810632671545692,3.22552637019691
"50_51","Male",0,0.103862311041792,0.277122688143678
"50_51","Female",0,0,0
"52_53","Male",0,0.103862311041792,0.277122688143678
"52_53","Female",0,0,0
"54_55","Male",0,0.103862311041792,0.277122688143678
"54_55","Female",0,0,0
"56_57","Male",0,0.103862311041792,0.277122688143678
"56_57","Female",0,0,0
"58_59","Male",0,0.103862311041792,0.277122688143678
"58_59","Female",0,0,0
"60_61","Male",0,0.103862311041792,0.277122688143678
"60_61","Female",0,0,0
"62_63","Male",0,0.103862311041792,0.277122688143678
"62_63","Female",0,0,0
"64_65","Male",0,0.103862311041792,0.277122688143678
"64_65","Female",0,0,0
"66_67","Male",0,0.103862311041792,0.277122688143678
"66_67","Female",0,0,0
"68_69","Male",0,0.103862311041792,0.277122688143678
"68_69","Female",0,0,0
"70_71","Male",0,0.103862311041792,0.277122688143678
"70_71","Female",0,0,0
"72_73","Male",0,0.103862311041792,0.277122688143678
"72_73","Female",0,0,0
"74_75","Male",0,0.103862311041792,0.277122688143678
"74_75","Female",0,0,0
"76_77","Male",0,0.103862311041792,0.277122688143678
"76_77","Female",0,0,0
"78_79","Male",0,0.103862311041792,0.277122688143678
"78_79","Female",0,0,0
"80_81","Male",0,0.103862311041792,0.277122688143678
"80_81","Female",0,0,0
"82_83","Male",0,0.103862311041792,0.277122688143678
"82_83","Female",0,0,0
"84_85","Male",0,0.103862311041792,0.277122688143678
"84_85","Female",0,0,0
"86_87","Male",0,0.103862311041792,0.277122688143678
"86_87","Female",0,0,0
"88_89","Male",0,0.103862311041792,0.277122688143678
"88_89","Female",0,0,0
"90_91","Male",0,0.103862311041792,0.277122688143678
"90_91","Female",0,0,0
"92_93","Male",0,0.103862311041792,0.277122688143678
"92_93","Female",0,0,0
"94_95","Male",0,0.103862311041792,0.277122688143678
"94_95","Female",0,0,0
"96_97","Male",0,0.103862311041792,0.277122688143678
"96_97","Female",0,0,0
"98_99","Male",0,0.103862311041792,0.277122688143678
"98_99","Female",0,0,0
