"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"10_11","Male","Active_Noninjection","No_Treatment",0.98249057664002,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00650026142568362,0,0.981290986126338,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00769985193936611,0,0.982859433399625,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00613140466607834,0
"10_11","Male","Active_Injection","No_Treatment",0.98249057664002,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00650026142568362,0,0.981290986126338,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00769985193936611,0,0.982859433399625,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00613140466607834,0
"10_11","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Active_Noninjection","No_Treatment",0.969512415693876,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.011318320663851,0,0.967423676609394,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0134070597483324,0,0.970154672798759,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0106760635589681,0
"10_11","Female","Active_Injection","No_Treatment",0.969512415693876,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.011318320663851,0,0.967423676609394,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0134070597483324,0,0.970154672798759,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0106760635589681,0
"10_11","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Active_Noninjection","No_Treatment",0.98249057664002,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00650026142568362,0,0.981290986126338,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00769985193936611,0,0.982859433399625,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00613140466607834,0
"12_13","Male","Active_Injection","No_Treatment",0.98249057664002,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00650026142568362,0,0.981290986126338,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00769985193936611,0,0.982859433399625,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00613140466607834,0
"12_13","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Female","Active_Noninjection","No_Treatment",0.969512415693876,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.011318320663851,0,0.967423676609394,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0134070597483324,0,0.970154672798759,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0106760635589681,0
"12_13","Female","Active_Injection","No_Treatment",0.969512415693876,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.011318320663851,0,0.967423676609394,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0134070597483324,0,0.970154672798759,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0106760635589681,0
"12_13","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Male","Active_Noninjection","No_Treatment",0.986701721311402,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00565728562776192,0,0.985657697736375,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00670130920278941,0,0.987022743483921,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00533626345524241,0
"14_15","Male","Active_Injection","No_Treatment",0.986701721311402,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00565728562776192,0,0.985657697736375,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00670130920278941,0,0.987022743483921,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00533626345524241,0
"14_15","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Female","Active_Noninjection","No_Treatment",0.979930671223408,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00805219214885505,0,0.978444679709597,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00953818366266548,0,0.980387592154621,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.0075952712176429,0
"14_15","Female","Active_Injection","No_Treatment",0.979930671223408,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00805219214885505,0,0.978444679709597,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00953818366266548,0,0.980387592154621,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.0075952712176429,0
"14_15","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"16_17","Male","Active_Noninjection","No_Treatment",0.990912865982784,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00481430982984023,0,0.990024409346412,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00570276646621272,0,0.991186053568218,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00454112224440647,0
