agegrp,sex,number_of_new_comers_cycle52,number_of_new_comers_cycle104,number_of_new_comers_cycle156
10_14,Male,27.3540204124412,13.9284845333433,111.422511033923
10_14,Female,14.4361042488248,5.95740262257548,32.2730995262084
15_19,Male,27.3540204124412,13.9284845333433,111.422511033923
15_19,Female,14.4361042488248,5.95740262257548,32.2730995262084
20_24,Male,66.5072920836084,27.0720844879024,143.890320059535
20_24,Female,22.6662817633763,12.2107453322336,91.8055289689728
25_29,Male,29.9642385238524,13.8898836524195,115.949506895065
25_29,Female,9.05585875387539,3.77645285037992,71.0202899075988
30_34,Male,29.9642385238524,13.8898836524195,115.949506895065
30_34,Female,9.05585875387539,3.77645285037992,71.0202899075988
35_39,Male,3.72000472340567,2.41898853789242,16.6152106158056
35_39,Female,1.45604003493683,1.64697091941612,6.91218722884101
40_44,Male,3.72000472340567,2.41898853789242,16.6152106158056
40_44,Female,1.45604003493683,1.64697091941612,6.91218722884101
45_49,Male,3.72000472340567,2.41898853789242,16.6152106158056
45_49,Female,1.45604003493683,1.64697091941612,6.91218722884101
50_54,Male,0,0.21101814905019,0.593863973182115
50_54,Female,0,0,0
55_59,Male,0,0.21101814905019,0.593863973182115
55_59,Female,0,0,0
60_64,Male,0,0.21101814905019,0.593863973182115
60_64,Female,0,0,0
65_69,Male,0,0.21101814905019,0.593863973182115
65_69,Female,0,0,0
70_74,Male,0,0.21101814905019,0.593863973182115
70_74,Female,0,0,0
75_79,Male,0,0.21101814905019,0.593863973182115
75_79,Female,0,0,0
80_84,Male,0,0.21101814905019,0.593863973182115
80_84,Female,0,0,0
85_89,Male,0,0.21101814905019,0.593863973182115
85_89,Female,0,0,0
90_94,Male,0,0.21101814905019,0.593863973182115
90_94,Female,0,0,0
95_99,Male,0,0.21101814905019,0.593863973182115
95_99,Female,0,0,0
