"block","agegrp","sex","oud","all_types_overdose_cycle52","all_types_overdose_cycle104","all_types_overdose_cycle156"
"No_Treatment","10_11","Male","Active_Noninjection",0.000140875612929437,0.000515093423561921,0.000177333979106145
"No_Treatment","10_11","Male","Active_Injection",0.000848271421202841,0.00310159452989188,0.00106780260511997
"No_Treatment","10_11","Female","Active_Noninjection",0.000203901313641198,0.000576424477421072,0.000524919574098061
"No_Treatment","10_11","Female","Active_Injection",0.0012277757200899,0.00347089464606621,0.00316076192236612
"No_Treatment","12_13","Male","Active_Noninjection",0.000140875612929437,0.000515093423561921,0.000177333979106145
"No_Treatment","12_13","Male","Active_Injection",0.000848271421202841,0.00310159452989188,0.00106780260511997
"No_Treatment","12_13","Female","Active_Noninjection",0.000203901313641198,0.000576424477421072,0.000524919574098061
"No_Treatment","12_13","Female","Active_Injection",0.0012277757200899,0.00347089464606621,0.00316076192236612
"No_Treatment","14_15","Male","Active_Noninjection",0.000140875612929437,0.000515093423561921,0.000177333979106145
"No_Treatment","14_15","Male","Active_Injection",0.000848271421202841,0.00310159452989188,0.00106780260511997
"No_Treatment","14_15","Female","Active_Noninjection",0.000203901313641198,0.000576424477421072,0.000524919574098061
"No_Treatment","14_15","Female","Active_Injection",0.0012277757200899,0.00347089464606621,0.00316076192236612
"No_Treatment","16_17","Male","Active_Noninjection",0.000140875612929437,0.000515093423561921,0.000177333979106145
"No_Treatment","16_17","Male","Active_Injection",0.000848271421202841,0.00310159452989188,0.00106780260511997
"No_Treatment","16_17","Female","Active_Noninjection",0.000203901313641198,0.000576424477421072,0.000524919574098061
"No_Treatment","16_17","Female","Active_Injection",0.0012277757200899,0.00347089464606621,0.00316076192236612
"No_Treatment","18_19","Male","Active_Noninjection",0.000140875612929437,0.000515093423561921,0.000177333979106145
"No_Treatment","18_19","Male","Active_Injection",0.000848271421202841,0.00310159452989188,0.00106780260511997
"No_Treatment","18_19","Female","Active_Noninjection",0.000203901313641198,0.000576424477421072,0.000524919574098061
"No_Treatment","18_19","Female","Active_Injection",0.0012277757200899,0.00347089464606621,0.00316076192236612
"No_Treatment","20_21","Male","Active_Noninjection",0.0017353931588519,0.00122451223843346,0.00101104804769875
"No_Treatment","20_21","Male","Active_Injection",0.010449533390441,0.00737330411684887,0.00608794628460896
"No_Treatment","20_21","Female","Active_Noninjection",0.00195717130625422,0.00149516346071685,0.000977500969965641
"No_Treatment","20_21","Female","Active_Injection",0.0117849530587333,0.00900300916091222,0.005885945195037
"No_Treatment","22_23","Male","Active_Noninjection",0.0017353931588519,0.00122451223843346,0.00101104804769875
"No_Treatment","22_23","Male","Active_Injection",0.010449533390441,0.00737330411684887,0.00608794628460896
"No_Treatment","22_23","Female","Active_Noninjection",0.00195717130625422,0.00149516346071685,0.000977500969965641
"No_Treatment","22_23","Female","Active_Injection",0.0117849530587333,0.00900300916091222,0.005885945195037
"No_Treatment","24_25","Male","Active_Noninjection",0.00116203800744596,0.00108723668181048,0.000963763116642186
"No_Treatment","24_25","Male","Active_Injection",0.00699712044952482,0.00654671015149511,0.00580322379194502
"No_Treatment","24_25","Female","Active_Noninjection",0.0012125506446414,0.0010121995881626,0.000821796419345945
"No_Treatment","24_25","Female","Active_Injection",0.00730127832079487,0.00609488019492556,0.00494838249205819
"No_Treatment","26_27","Male","Active_Noninjection",0.000588682856040026,0.000949961125187504,0.000916478185585623
"No_Treatment","26_27","Male","Active_Injection",0.00354470750860865,0.00572011618614134,0.00551850129928109
"No_Treatment","26_27","Female","Active_Noninjection",0.000467929983028585,0.000529235715608359,0.000666091868726249
"No_Treatment","26_27","Female","Active_Injection",0.00281760358285644,0.0031867512289389,0.00401081978907937
