"block","agegrp","sex","oud","counts"
"No_Treatment","38_39","Male","Active_Noninjection",2807.6
"No_Treatment","38_39","Male","Active_Injection",940.4
"No_Treatment","38_39","Male","Nonactive_Noninjection",277.6
"No_Treatment","38_39","Male","Nonactive_Injection",92.8
"No_Treatment","38_39","Female","Active_Noninjection",1902.8
"No_Treatment","38_39","Female","Active_Injection",637.2
"No_Treatment","38_39","Female","Nonactive_Noninjection",188
"No_Treatment","38_39","Female","Nonactive_Injection",63.2
"No_Treatment","40_41","Male","Active_Noninjection",3092.4
"No_Treatment","40_41","Male","Active_Injection",1035.6
"No_Treatment","40_41","Male","Nonactive_Noninjection",306
"No_Treatment","40_41","Male","Nonactive_Injection",102.4
"No_Treatment","40_41","Female","Active_Noninjection",2036.4
"No_Treatment","40_41","Female","Active_Injection",682
"No_Treatment","40_41","Female","Nonactive_Noninjection",201.6
"No_Treatment","40_41","Female","Nonactive_Injection",67.6
"No_Treatment","42_43","Male","Active_Noninjection",3092.4
"No_Treatment","42_43","Male","Active_Injection",1035.6
"No_Treatment","42_43","Male","Nonactive_Noninjection",306
"No_Treatment","42_43","Male","Nonactive_Injection",102.4
"No_Treatment","42_43","Female","Active_Noninjection",2036.4
"No_Treatment","42_43","Female","Active_Injection",682
"No_Treatment","42_43","Female","Nonactive_Noninjection",201.6
"No_Treatment","42_43","Female","Nonactive_Injection",67.6
"No_Treatment","44_45","Male","Active_Noninjection",2863.4
"No_Treatment","44_45","Male","Active_Injection",959
"No_Treatment","44_45","Male","Nonactive_Noninjection",283.2
"No_Treatment","44_45","Male","Nonactive_Injection",94.8
"No_Treatment","44_45","Female","Active_Noninjection",1975.8
"No_Treatment","44_45","Female","Active_Injection",661.6
"No_Treatment","44_45","Female","Nonactive_Noninjection",195.6
"No_Treatment","44_45","Female","Nonactive_Injection",65.6
"No_Treatment","46_47","Male","Active_Noninjection",2634.4
"No_Treatment","46_47","Male","Active_Injection",882.4
"No_Treatment","46_47","Male","Nonactive_Noninjection",260.4
"No_Treatment","46_47","Male","Nonactive_Injection",87.2
"No_Treatment","46_47","Female","Active_Noninjection",1915.2
"No_Treatment","46_47","Female","Active_Injection",641.2
"No_Treatment","46_47","Female","Nonactive_Noninjection",189.6
"No_Treatment","46_47","Female","Nonactive_Injection",63.6
"No_Treatment","48_49","Male","Active_Noninjection",2634.4
"No_Treatment","48_49","Male","Active_Injection",882.4
"No_Treatment","48_49","Male","Nonactive_Noninjection",260.4
"No_Treatment","48_49","Male","Nonactive_Injection",87.2
"No_Treatment","48_49","Female","Active_Noninjection",1915.2
"No_Treatment","48_49","Female","Active_Injection",641.2
"No_Treatment","48_49","Female","Nonactive_Noninjection",189.6
"No_Treatment","48_49","Female","Nonactive_Injection",63.6
"No_Treatment","50_51","Male","Active_Noninjection",2666.8
"No_Treatment","50_51","Male","Active_Injection",893.2
"No_Treatment","50_51","Male","Nonactive_Noninjection",263.6
"No_Treatment","50_51","Male","Nonactive_Injection",88.4
"No_Treatment","50_51","Female","Active_Noninjection",1930.8
"No_Treatment","50_51","Female","Active_Injection",646.4
"No_Treatment","50_51","Female","Nonactive_Noninjection",190.8
"No_Treatment","50_51","Female","Nonactive_Injection",64
"No_Treatment","52_53","Male","Active_Noninjection",2666.8
"No_Treatment","52_53","Male","Active_Injection",893.2
"No_Treatment","52_53","Male","Nonactive_Noninjection",263.6
"No_Treatment","52_53","Male","Nonactive_Injection",88.4
"No_Treatment","52_53","Female","Active_Noninjection",1930.8
"No_Treatment","52_53","Female","Active_Injection",646.4
"No_Treatment","52_53","Female","Nonactive_Noninjection",190.8
"No_Treatment","52_53","Female","Nonactive_Injection",64
"No_Treatment","54_55","Male","Active_Noninjection",2538.8
"No_Treatment","54_55","Male","Active_Injection",850.2
"No_Treatment","54_55","Male","Nonactive_Noninjection",251
"No_Treatment","54_55","Male","Nonactive_Injection",84.2
"No_Treatment","54_55","Female","Active_Noninjection",1872.6
"No_Treatment","54_55","Female","Active_Injection",627
"No_Treatment","54_55","Female","Nonactive_Noninjection",185.2
"No_Treatment","54_55","Female","Nonactive_Injection",62
"No_Treatment","56_57","Male","Active_Noninjection",2410.8
"No_Treatment","56_57","Male","Active_Injection",807.2
"No_Treatment","56_57","Male","Nonactive_Noninjection",238.4
"No_Treatment","56_57","Male","Nonactive_Injection",80
"No_Treatment","56_57","Female","Active_Noninjection",1814.4
"No_Treatment","56_57","Female","Active_Injection",607.6
"No_Treatment","56_57","Female","Nonactive_Noninjection",179.6
"No_Treatment","56_57","Female","Nonactive_Injection",60
"No_Treatment","58_59","Male","Active_Noninjection",2410.8
"No_Treatment","58_59","Male","Active_Injection",807.2
"No_Treatment","58_59","Male","Nonactive_Noninjection",238.4
"No_Treatment","58_59","Male","Nonactive_Injection",80
"No_Treatment","58_59","Female","Active_Noninjection",1814.4
"No_Treatment","58_59","Female","Active_Injection",607.6
"No_Treatment","58_59","Female","Nonactive_Noninjection",179.6
"No_Treatment","58_59","Female","Nonactive_Injection",60
"No_Treatment","60_61","Male","Active_Noninjection",2183.2
"No_Treatment","60_61","Male","Active_Injection",731.2
"No_Treatment","60_61","Male","Nonactive_Noninjection",216
"No_Treatment","60_61","Male","Nonactive_Injection",72.4
"No_Treatment","60_61","Female","Active_Noninjection",1675.2
"No_Treatment","60_61","Female","Active_Injection",561.2
"No_Treatment","60_61","Female","Nonactive_Noninjection",165.6
"No_Treatment","60_61","Female","Nonactive_Injection",55.6
"No_Treatment","62_63","Male","Active_Noninjection",2183.2
"No_Treatment","62_63","Male","Active_Injection",731.2
