"block","agegrp","sex","oud","SMR"
"No_Treatment","32_33","Female","Nonactive_Noninjection",2.3022
"No_Treatment","32_33","Female","Nonactive_Injection",5.6192
"No_Treatment","34_35","Male","Active_Noninjection",1.79
"No_Treatment","34_35","Male","Active_Injection",4.4126
"No_Treatment","34_35","Male","Nonactive_Noninjection",1.8261
"No_Treatment","34_35","Male","Nonactive_Injection",4.5889
"No_Treatment","34_35","Female","Active_Noninjection",2.2898
"No_Treatment","34_35","Female","Active_Injection",5.6707
"No_Treatment","34_35","Female","Nonactive_Noninjection",2.3022
"No_Treatment","34_35","Female","Nonactive_Injection",5.6192
"No_Treatment","36_37","Male","Active_Noninjection",1.79
"No_Treatment","36_37","Male","Active_Injection",4.4126
"No_Treatment","36_37","Male","Nonactive_Noninjection",1.8261
"No_Treatment","36_37","Male","Nonactive_Injection",4.5889
"No_Treatment","36_37","Female","Active_Noninjection",2.2898
"No_Treatment","36_37","Female","Active_Injection",5.6707
"No_Treatment","36_37","Female","Nonactive_Noninjection",2.3022
"No_Treatment","36_37","Female","Nonactive_Injection",5.6192
"No_Treatment","38_39","Male","Active_Noninjection",1.79
"No_Treatment","38_39","Male","Active_Injection",4.4126
"No_Treatment","38_39","Male","Nonactive_Noninjection",1.8261
"No_Treatment","38_39","Male","Nonactive_Injection",4.5889
"No_Treatment","38_39","Female","Active_Noninjection",2.2898
"No_Treatment","38_39","Female","Active_Injection",5.6707
"No_Treatment","38_39","Female","Nonactive_Noninjection",2.3022
"No_Treatment","38_39","Female","Nonactive_Injection",5.6192
"No_Treatment","40_41","Male","Active_Noninjection",1.79
"No_Treatment","40_41","Male","Active_Injection",4.4126
"No_Treatment","40_41","Male","Nonactive_Noninjection",1.8261
"No_Treatment","40_41","Male","Nonactive_Injection",4.5889
"No_Treatment","40_41","Female","Active_Noninjection",2.2898
"No_Treatment","40_41","Female","Active_Injection",5.6707
"No_Treatment","40_41","Female","Nonactive_Noninjection",2.3022
"No_Treatment","40_41","Female","Nonactive_Injection",5.6192
"No_Treatment","42_43","Male","Active_Noninjection",1.79
"No_Treatment","42_43","Male","Active_Injection",4.4126
"No_Treatment","42_43","Male","Nonactive_Noninjection",1.8261
"No_Treatment","42_43","Male","Nonactive_Injection",4.5889
"No_Treatment","42_43","Female","Active_Noninjection",2.2898
"No_Treatment","42_43","Female","Active_Injection",5.6707
"No_Treatment","42_43","Female","Nonactive_Noninjection",2.3022
"No_Treatment","42_43","Female","Nonactive_Injection",5.6192
"No_Treatment","44_45","Male","Active_Noninjection",1.79
"No_Treatment","44_45","Male","Active_Injection",4.4126
"No_Treatment","44_45","Male","Nonactive_Noninjection",1.8261
"No_Treatment","44_45","Male","Nonactive_Injection",4.5889
"No_Treatment","44_45","Female","Active_Noninjection",2.2898
"No_Treatment","44_45","Female","Active_Injection",5.6707
"No_Treatment","44_45","Female","Nonactive_Noninjection",2.3022
"No_Treatment","44_45","Female","Nonactive_Injection",5.6192
"No_Treatment","46_47","Male","Active_Noninjection",1.79
"No_Treatment","46_47","Male","Active_Injection",4.4126
"No_Treatment","46_47","Male","Nonactive_Noninjection",1.8261
"No_Treatment","46_47","Male","Nonactive_Injection",4.5889
"No_Treatment","46_47","Female","Active_Noninjection",2.2898
"No_Treatment","46_47","Female","Active_Injection",5.6707
"No_Treatment","46_47","Female","Nonactive_Noninjection",2.3022
"No_Treatment","46_47","Female","Nonactive_Injection",5.6192
"No_Treatment","48_49","Male","Active_Noninjection",1.79
"No_Treatment","48_49","Male","Active_Injection",4.4126
"No_Treatment","48_49","Male","Nonactive_Noninjection",1.8261
"No_Treatment","48_49","Male","Nonactive_Injection",4.5889
"No_Treatment","48_49","Female","Active_Noninjection",2.2898
"No_Treatment","48_49","Female","Active_Injection",5.6707
"No_Treatment","48_49","Female","Nonactive_Noninjection",2.3022
"No_Treatment","48_49","Female","Nonactive_Injection",5.6192
"No_Treatment","50_51","Male","Active_Noninjection",1.79
"No_Treatment","50_51","Male","Active_Injection",4.4126
"No_Treatment","50_51","Male","Nonactive_Noninjection",1.8261
"No_Treatment","50_51","Male","Nonactive_Injection",4.5889
"No_Treatment","50_51","Female","Active_Noninjection",2.2898
"No_Treatment","50_51","Female","Active_Injection",5.6707
"No_Treatment","50_51","Female","Nonactive_Noninjection",2.3022
"No_Treatment","50_51","Female","Nonactive_Injection",5.6192
"No_Treatment","52_53","Male","Active_Noninjection",1.79
"No_Treatment","52_53","Male","Active_Injection",4.4126
"No_Treatment","52_53","Male","Nonactive_Noninjection",1.8261
"No_Treatment","52_53","Male","Nonactive_Injection",4.5889
"No_Treatment","52_53","Female","Active_Noninjection",2.2898
"No_Treatment","52_53","Female","Active_Injection",5.6707
"No_Treatment","52_53","Female","Nonactive_Noninjection",2.3022
"No_Treatment","52_53","Female","Nonactive_Injection",5.6192
"No_Treatment","54_55","Male","Active_Noninjection",1.79
"No_Treatment","54_55","Male","Active_Injection",4.4126
"No_Treatment","54_55","Male","Nonactive_Noninjection",1.8261
"No_Treatment","54_55","Male","Nonactive_Injection",4.5889
"No_Treatment","54_55","Female","Active_Noninjection",2.2898
"No_Treatment","54_55","Female","Active_Injection",5.6707
"No_Treatment","54_55","Female","Nonactive_Noninjection",2.3022
"No_Treatment","54_55","Female","Nonactive_Injection",5.6192
"No_Treatment","56_57","Male","Active_Noninjection",1.79
"No_Treatment","56_57","Male","Active_Injection",4.4126
"No_Treatment","56_57","Male","Nonactive_Noninjection",1.8261
"No_Treatment","56_57","Male","Nonactive_Injection",4.5889
"No_Treatment","56_57","Female","Active_Noninjection",2.2898
"No_Treatment","56_57","Female","Active_Injection",5.6707
"No_Treatment","56_57","Female","Nonactive_Noninjection",2.3022
"No_Treatment","56_57","Female","Nonactive_Injection",5.6192
"No_Treatment","58_59","Male","Active_Noninjection",1.79
"No_Treatment","58_59","Male","Active_Injection",4.4126
"No_Treatment","58_59","Male","Nonactive_Noninjection",1.8261
"No_Treatment","58_59","Male","Nonactive_Injection",4.5889
"No_Treatment","58_59","Female","Active_Noninjection",2.2898
"No_Treatment","58_59","Female","Active_Injection",5.6707
"No_Treatment","58_59","Female","Nonactive_Noninjection",2.3022
"No_Treatment","58_59","Female","Nonactive_Injection",5.6192
"No_Treatment","60_61","Male","Active_Noninjection",1.79
"No_Treatment","60_61","Male","Active_Injection",4.4126
"No_Treatment","60_61","Male","Nonactive_Noninjection",1.8261
"No_Treatment","60_61","Male","Nonactive_Injection",4.5889
"No_Treatment","60_61","Female","Active_Noninjection",2.2898
"No_Treatment","60_61","Female","Active_Injection",5.6707
"No_Treatment","60_61","Female","Nonactive_Noninjection",2.3022
"No_Treatment","60_61","Female","Nonactive_Injection",5.6192
"No_Treatment","62_63","Male","Active_Noninjection",1.79
"No_Treatment","62_63","Male","Active_Injection",4.4126
"No_Treatment","62_63","Male","Nonactive_Noninjection",1.8261
"No_Treatment","62_63","Male","Nonactive_Injection",4.5889
"No_Treatment","62_63","Female","Active_Noninjection",2.2898
"No_Treatment","62_63","Female","Active_Injection",5.6707
"No_Treatment","62_63","Female","Nonactive_Noninjection",2.3022
"No_Treatment","62_63","Female","Nonactive_Injection",5.6192
"No_Treatment","64_65","Male","Active_Noninjection",1.79
"No_Treatment","64_65","Male","Active_Injection",4.4126
"No_Treatment","64_65","Male","Nonactive_Noninjection",1.8261
"No_Treatment","64_65","Male","Nonactive_Injection",4.5889
"No_Treatment","64_65","Female","Active_Noninjection",2.2898
"No_Treatment","64_65","Female","Active_Injection",5.6707
"No_Treatment","64_65","Female","Nonactive_Noninjection",2.3022
"No_Treatment","64_65","Female","Nonactive_Injection",5.6192
"No_Treatment","66_67","Male","Active_Noninjection",1.79
"No_Treatment","66_67","Male","Active_Injection",4.4126
"No_Treatment","66_67","Male","Nonactive_Noninjection",1.8261
"No_Treatment","66_67","Male","Nonactive_Injection",4.5889
"No_Treatment","66_67","Female","Active_Noninjection",2.2898
"No_Treatment","66_67","Female","Active_Injection",5.6707
"No_Treatment","66_67","Female","Nonactive_Noninjection",2.3022
"No_Treatment","66_67","Female","Nonactive_Injection",5.6192
"No_Treatment","68_69","Male","Active_Noninjection",1.79
"No_Treatment","68_69","Male","Active_Injection",4.4126
"No_Treatment","68_69","Male","Nonactive_Noninjection",1.8261
"No_Treatment","68_69","Male","Nonactive_Injection",4.5889
"No_Treatment","68_69","Female","Active_Noninjection",2.2898
"No_Treatment","68_69","Female","Active_Injection",5.6707
"No_Treatment","68_69","Female","Nonactive_Noninjection",2.3022
"No_Treatment","68_69","Female","Nonactive_Injection",5.6192
"No_Treatment","70_71","Male","Active_Noninjection",1.79
"No_Treatment","70_71","Male","Active_Injection",4.4126
"No_Treatment","70_71","Male","Nonactive_Noninjection",1.8261
"No_Treatment","70_71","Male","Nonactive_Injection",4.5889
"No_Treatment","70_71","Female","Active_Noninjection",2.2898
"No_Treatment","70_71","Female","Active_Injection",5.6707
"No_Treatment","70_71","Female","Nonactive_Noninjection",2.3022
"No_Treatment","70_71","Female","Nonactive_Injection",5.6192
"No_Treatment","72_73","Male","Active_Noninjection",1.79
"No_Treatment","72_73","Male","Active_Injection",4.4126
"No_Treatment","72_73","Male","Nonactive_Noninjection",1.8261
"No_Treatment","72_73","Male","Nonactive_Injection",4.5889
"No_Treatment","72_73","Female","Active_Noninjection",2.2898
"No_Treatment","72_73","Female","Active_Injection",5.6707
"No_Treatment","72_73","Female","Nonactive_Noninjection",2.3022
"No_Treatment","72_73","Female","Nonactive_Injection",5.6192
"No_Treatment","74_75","Male","Active_Noninjection",1.79
"No_Treatment","74_75","Male","Active_Injection",4.4126
"No_Treatment","74_75","Male","Nonactive_Noninjection",1.8261
"No_Treatment","74_75","Male","Nonactive_Injection",4.5889
"No_Treatment","74_75","Female","Active_Noninjection",2.2898
"No_Treatment","74_75","Female","Active_Injection",5.6707
"No_Treatment","74_75","Female","Nonactive_Noninjection",2.3022
"No_Treatment","74_75","Female","Nonactive_Injection",5.6192
"No_Treatment","76_77","Male","Active_Noninjection",1.79
"No_Treatment","76_77","Male","Active_Injection",4.4126
"No_Treatment","76_77","Male","Nonactive_Noninjection",1.8261
"No_Treatment","76_77","Male","Nonactive_Injection",4.5889
"No_Treatment","76_77","Female","Active_Noninjection",2.2898
"No_Treatment","76_77","Female","Active_Injection",5.6707
"No_Treatment","76_77","Female","Nonactive_Noninjection",2.3022
"No_Treatment","76_77","Female","Nonactive_Injection",5.6192
"No_Treatment","78_79","Male","Active_Noninjection",1.79
"No_Treatment","78_79","Male","Active_Injection",4.4126
"No_Treatment","78_79","Male","Nonactive_Noninjection",1.8261
"No_Treatment","78_79","Male","Nonactive_Injection",4.5889
"No_Treatment","78_79","Female","Active_Noninjection",2.2898
"No_Treatment","78_79","Female","Active_Injection",5.6707
"No_Treatment","78_79","Female","Nonactive_Noninjection",2.3022
"No_Treatment","78_79","Female","Nonactive_Injection",5.6192
"No_Treatment","80_81","Male","Active_Noninjection",1.79
"No_Treatment","80_81","Male","Active_Injection",4.4126
"No_Treatment","80_81","Male","Nonactive_Noninjection",1.8261
"No_Treatment","80_81","Male","Nonactive_Injection",4.5889
"No_Treatment","80_81","Female","Active_Noninjection",2.2898
"No_Treatment","80_81","Female","Active_Injection",5.6707
