agegrp,sex,number_of_new_comers_cycle52,number_of_new_comers_cycle104,number_of_new_comers_cycle156
10_14,Male,22.7597834159415,20.9048281911117,112.497826439049
10_14,Female,12.0114923188318,8.94127986372725,32.5845604757927
15_19,Male,22.7597834159415,20.9048281911117,112.497826439049
15_19,Female,12.0114923188318,8.94127986372725,32.5845604757927
20_24,Male,55.3370780814082,40.6316475880824,145.278975514997
20_24,Female,18.8593726260626,18.3267269777045,92.691524973371
25_29,Male,24.931603060306,20.8468933323835,117.068511392667
25_29,Female,7.53488448044804,5.66796034558088,71.7056919067595
30_34,Male,24.931603060306,20.8468933323835,117.068511392667
30_34,Female,7.53488448044804,5.66796034558088,71.7056919067595
35_39,Male,3.0952123503017,3.63058448030394,16.7755605466122
35_39,Female,1.21149123018969,2.47188730573885,6.97889530552423
40_44,Male,3.0952123503017,3.63058448030394,16.7755605466122
40_44,Female,1.21149123018969,2.47188730573885,6.97889530552423
45_49,Male,3.0952123503017,3.63058448030394,16.7755605466122
45_49,Female,1.21149123018969,2.47188730573885,6.97889530552423
50_54,Male,0,0.31671056104779,0.599595230474617
50_54,Female,0,0,0
55_59,Male,0,0.31671056104779,0.599595230474617
55_59,Female,0,0,0
60_64,Male,0,0.31671056104779,0.599595230474617
60_64,Female,0,0,0
65_69,Male,0,0.31671056104779,0.599595230474617
65_69,Female,0,0,0
70_74,Male,0,0.31671056104779,0.599595230474617
70_74,Female,0,0,0
75_79,Male,0,0.31671056104779,0.599595230474617
75_79,Female,0,0,0
80_84,Male,0,0.31671056104779,0.599595230474617
80_84,Female,0,0,0
85_89,Male,0,0.31671056104779,0.599595230474617
85_89,Female,0,0,0
90_94,Male,0,0.31671056104779,0.599595230474617
90_94,Female,0,0,0
95_99,Male,0,0.31671056104779,0.599595230474617
95_99,Female,0,0,0
