"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"10_11","Male","Active_Noninjection","No_Treatment",0.98345096073457,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0055398773311341,0,0.982117354004589,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00687348406111428,0,0.983398587876021,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00559225018968235,0
"10_11","Male","Active_Injection","No_Treatment",0.98345096073457,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0055398773311341,0,0.982117354004589,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00687348406111428,0,0.983398587876021,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00559225018968235,0
"10_11","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Active_Noninjection","No_Treatment",0.971184646152119,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00964609020560747,0,0.968862556682033,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0119681796756934,0,0.971093454003325,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00973728235440158,0
"10_11","Female","Active_Injection","No_Treatment",0.971184646152119,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00964609020560747,0,0.968862556682033,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0119681796756934,0,0.971093454003325,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00973728235440158,0
"10_11","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Active_Noninjection","No_Treatment",0.98345096073457,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0055398773311341,0,0.982117354004589,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00687348406111428,0,0.983398587876021,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00559225018968235,0
"12_13","Male","Active_Injection","No_Treatment",0.98345096073457,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0055398773311341,0,0.982117354004589,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00687348406111428,0,0.983398587876021,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00559225018968235,0
