"block","agegrp","sex","oud","healthcare_utilization_cost_healthcare_system"
"No_Treatment","38_39","Male","Active_Injection",496.32
"No_Treatment","38_39","Male","Nonactive_Noninjection",253.05
"No_Treatment","38_39","Male","Nonactive_Injection",374.02
"No_Treatment","38_39","Female","Active_Noninjection",360
"No_Treatment","38_39","Female","Active_Injection",496.32
"No_Treatment","38_39","Female","Nonactive_Noninjection",253.05
"No_Treatment","38_39","Female","Nonactive_Injection",374.02
"No_Treatment","40_41","Male","Active_Noninjection",360
"No_Treatment","40_41","Male","Active_Injection",496.32
"No_Treatment","40_41","Male","Nonactive_Noninjection",253.05
"No_Treatment","40_41","Male","Nonactive_Injection",374.02
"No_Treatment","40_41","Female","Active_Noninjection",360
"No_Treatment","40_41","Female","Active_Injection",496.32
"No_Treatment","40_41","Female","Nonactive_Noninjection",253.05
"No_Treatment","40_41","Female","Nonactive_Injection",374.02
"No_Treatment","42_43","Male","Active_Noninjection",360
"No_Treatment","42_43","Male","Active_Injection",496.32
"No_Treatment","42_43","Male","Nonactive_Noninjection",253.05
"No_Treatment","42_43","Male","Nonactive_Injection",374.02
"No_Treatment","42_43","Female","Active_Noninjection",360
"No_Treatment","42_43","Female","Active_Injection",496.32
"No_Treatment","42_43","Female","Nonactive_Noninjection",253.05
"No_Treatment","42_43","Female","Nonactive_Injection",374.02
"No_Treatment","44_45","Male","Active_Noninjection",330.5
"No_Treatment","44_45","Male","Active_Injection",459.405
"No_Treatment","44_45","Male","Nonactive_Noninjection",227.51
"No_Treatment","44_45","Male","Nonactive_Injection",340.345
"No_Treatment","44_45","Female","Active_Noninjection",330.5
"No_Treatment","44_45","Female","Active_Injection",459.405
"No_Treatment","44_45","Female","Nonactive_Noninjection",227.51
"No_Treatment","44_45","Female","Nonactive_Injection",340.345
"No_Treatment","46_47","Male","Active_Noninjection",301
"No_Treatment","46_47","Male","Active_Injection",422.49
"No_Treatment","46_47","Male","Nonactive_Noninjection",201.97
"No_Treatment","46_47","Male","Nonactive_Injection",306.67
"No_Treatment","46_47","Female","Active_Noninjection",301
"No_Treatment","46_47","Female","Active_Injection",422.49
"No_Treatment","46_47","Female","Nonactive_Noninjection",201.97
"No_Treatment","46_47","Female","Nonactive_Injection",306.67
"No_Treatment","48_49","Male","Active_Noninjection",301
"No_Treatment","48_49","Male","Active_Injection",422.49
"No_Treatment","48_49","Male","Nonactive_Noninjection",201.97
"No_Treatment","48_49","Male","Nonactive_Injection",306.67
"No_Treatment","48_49","Female","Active_Noninjection",301
"No_Treatment","48_49","Female","Active_Injection",422.49
"No_Treatment","48_49","Female","Nonactive_Noninjection",201.97
"No_Treatment","48_49","Female","Nonactive_Injection",306.67
"No_Treatment","50_51","Male","Active_Noninjection",301
"No_Treatment","50_51","Male","Active_Injection",422.49
"No_Treatment","50_51","Male","Nonactive_Noninjection",201.97
"No_Treatment","50_51","Male","Nonactive_Injection",306.67
"No_Treatment","50_51","Female","Active_Noninjection",301
"No_Treatment","50_51","Female","Active_Injection",422.49
"No_Treatment","50_51","Female","Nonactive_Noninjection",201.97
"No_Treatment","50_51","Female","Nonactive_Injection",306.67
"No_Treatment","52_53","Male","Active_Noninjection",301
"No_Treatment","52_53","Male","Active_Injection",422.49
"No_Treatment","52_53","Male","Nonactive_Noninjection",201.97
"No_Treatment","52_53","Male","Nonactive_Injection",306.67
"No_Treatment","52_53","Female","Active_Noninjection",301
"No_Treatment","52_53","Female","Active_Injection",422.49
"No_Treatment","52_53","Female","Nonactive_Noninjection",201.97
"No_Treatment","52_53","Female","Nonactive_Injection",306.67
"No_Treatment","54_55","Male","Active_Noninjection",301
"No_Treatment","54_55","Male","Active_Injection",422.49
"No_Treatment","54_55","Male","Nonactive_Noninjection",201.97
"No_Treatment","54_55","Male","Nonactive_Injection",306.67
"No_Treatment","54_55","Female","Active_Noninjection",301
"No_Treatment","54_55","Female","Active_Injection",422.49
"No_Treatment","54_55","Female","Nonactive_Noninjection",201.97
"No_Treatment","54_55","Female","Nonactive_Injection",306.67
"No_Treatment","56_57","Male","Active_Noninjection",301
"No_Treatment","56_57","Male","Active_Injection",422.49
"No_Treatment","56_57","Male","Nonactive_Noninjection",201.97
"No_Treatment","56_57","Male","Nonactive_Injection",306.67
"No_Treatment","56_57","Female","Active_Noninjection",301
"No_Treatment","56_57","Female","Active_Injection",422.49
"No_Treatment","56_57","Female","Nonactive_Noninjection",201.97
"No_Treatment","56_57","Female","Nonactive_Injection",306.67
"No_Treatment","58_59","Male","Active_Noninjection",301
"No_Treatment","58_59","Male","Active_Injection",422.49
"No_Treatment","58_59","Male","Nonactive_Noninjection",201.97
"No_Treatment","58_59","Male","Nonactive_Injection",306.67
"No_Treatment","58_59","Female","Active_Noninjection",301
"No_Treatment","58_59","Female","Active_Injection",422.49
"No_Treatment","58_59","Female","Nonactive_Noninjection",201.97
"No_Treatment","58_59","Female","Nonactive_Injection",306.67
"No_Treatment","60_61","Male","Active_Noninjection",301
"No_Treatment","60_61","Male","Active_Injection",422.49
