agegrp,sex,oud,initial_block,to_Corrections_cycle936
44_45,Female,Nonactive_Injection,No_Treatment,0.000206
46_47,Male,Active_Noninjection,No_Treatment,0.002445
46_47,Male,Active_Injection,No_Treatment,0.002445
46_47,Male,Nonactive_Noninjection,No_Treatment,0.001529
46_47,Male,Nonactive_Injection,No_Treatment,0.001529
46_47,Female,Active_Noninjection,No_Treatment,0.000397
46_47,Female,Active_Injection,No_Treatment,0.000397
46_47,Female,Nonactive_Noninjection,No_Treatment,0.000248
46_47,Female,Nonactive_Injection,No_Treatment,0.000248
48_49,Male,Active_Noninjection,No_Treatment,0.002445
48_49,Male,Active_Injection,No_Treatment,0.002445
48_49,Male,Nonactive_Noninjection,No_Treatment,0.001529
48_49,Male,Nonactive_Injection,No_Treatment,0.001529
48_49,Female,Active_Noninjection,No_Treatment,0.000397
48_49,Female,Active_Injection,No_Treatment,0.000397
48_49,Female,Nonactive_Noninjection,No_Treatment,0.000248
48_49,Female,Nonactive_Injection,No_Treatment,0.000248
50_51,Male,Active_Noninjection,No_Treatment,0.002445
50_51,Male,Active_Injection,No_Treatment,0.002445
50_51,Male,Nonactive_Noninjection,No_Treatment,0.001529
50_51,Male,Nonactive_Injection,No_Treatment,0.001529
50_51,Female,Active_Noninjection,No_Treatment,0.000397
50_51,Female,Active_Injection,No_Treatment,0.000397
50_51,Female,Nonactive_Noninjection,No_Treatment,0.000248
50_51,Female,Nonactive_Injection,No_Treatment,0.000248
52_53,Male,Active_Noninjection,No_Treatment,0.002445
52_53,Male,Active_Injection,No_Treatment,0.002445
52_53,Male,Nonactive_Noninjection,No_Treatment,0.001529
52_53,Male,Nonactive_Injection,No_Treatment,0.001529
52_53,Female,Active_Noninjection,No_Treatment,0.000397
52_53,Female,Active_Injection,No_Treatment,0.000397
52_53,Female,Nonactive_Noninjection,No_Treatment,0.000248
52_53,Female,Nonactive_Injection,No_Treatment,0.000248
54_55,Male,Active_Noninjection,No_Treatment,0.001932
54_55,Male,Active_Injection,No_Treatment,0.001932
54_55,Male,Nonactive_Noninjection,No_Treatment,0.002475
54_55,Male,Nonactive_Injection,No_Treatment,0.002475
54_55,Female,Active_Noninjection,No_Treatment,0.000314
54_55,Female,Active_Injection,No_Treatment,0.000314
54_55,Female,Nonactive_Noninjection,No_Treatment,0.000201
54_55,Female,Nonactive_Injection,No_Treatment,0.000201
56_57,Male,Active_Noninjection,No_Treatment,0.001418
56_57,Male,Active_Injection,No_Treatment,0.001418
56_57,Male,Nonactive_Noninjection,No_Treatment,0.000946
56_57,Male,Nonactive_Injection,No_Treatment,0.000946
56_57,Female,Active_Noninjection,No_Treatment,0.00023
56_57,Female,Active_Injection,No_Treatment,0.00023
56_57,Female,Nonactive_Noninjection,No_Treatment,0.000154
56_57,Female,Nonactive_Injection,No_Treatment,0.000154
58_59,Male,Active_Noninjection,No_Treatment,0.001418
58_59,Male,Active_Injection,No_Treatment,0.001418
58_59,Male,Nonactive_Noninjection,No_Treatment,0.000946
58_59,Male,Nonactive_Injection,No_Treatment,0.000946
58_59,Female,Active_Noninjection,No_Treatment,0.00023
58_59,Female,Active_Injection,No_Treatment,0.00023
58_59,Female,Nonactive_Noninjection,No_Treatment,0.000154
58_59,Female,Nonactive_Injection,No_Treatment,0.000154
60_61,Male,Active_Noninjection,No_Treatment,0.001418
60_61,Male,Active_Injection,No_Treatment,0.001418
60_61,Male,Nonactive_Noninjection,No_Treatment,0.000946
60_61,Male,Nonactive_Injection,No_Treatment,0.000946
60_61,Female,Active_Noninjection,No_Treatment,0.00023
60_61,Female,Active_Injection,No_Treatment,0.00023
60_61,Female,Nonactive_Noninjection,No_Treatment,0.000154
60_61,Female,Nonactive_Injection,No_Treatment,0.000154
62_63,Male,Active_Noninjection,No_Treatment,0.001418
62_63,Male,Active_Injection,No_Treatment,0.001418
62_63,Male,Nonactive_Noninjection,No_Treatment,0.000946
62_63,Male,Nonactive_Injection,No_Treatment,0.000946
62_63,Female,Active_Noninjection,No_Treatment,0.00023
62_63,Female,Active_Injection,No_Treatment,0.00023
62_63,Female,Nonactive_Noninjection,No_Treatment,0.000154
62_63,Female,Nonactive_Injection,No_Treatment,0.000154
64_65,Male,Active_Noninjection,No_Treatment,0.001418
64_65,Male,Active_Injection,No_Treatment,0.001418
64_65,Male,Nonactive_Noninjection,No_Treatment,0.000946
64_65,Male,Nonactive_Injection,No_Treatment,0.000946
64_65,Female,Active_Noninjection,No_Treatment,0.00023
64_65,Female,Active_Injection,No_Treatment,0.00023
64_65,Female,Nonactive_Noninjection,No_Treatment,0.000154
64_65,Female,Nonactive_Injection,No_Treatment,0.000154
66_67,Male,Active_Noninjection,No_Treatment,0.001418
66_67,Male,Active_Injection,No_Treatment,0.001418
66_67,Male,Nonactive_Noninjection,No_Treatment,0.000946
66_67,Male,Nonactive_Injection,No_Treatment,0.000946
66_67,Female,Active_Noninjection,No_Treatment,0.00023
66_67,Female,Active_Injection,No_Treatment,0.00023
66_67,Female,Nonactive_Noninjection,No_Treatment,0.000154
66_67,Female,Nonactive_Injection,No_Treatment,0.000154
68_69,Male,Active_Noninjection,No_Treatment,0.001418
68_69,Male,Active_Injection,No_Treatment,0.001418
68_69,Male,Nonactive_Noninjection,No_Treatment,0.000946
68_69,Male,Nonactive_Injection,No_Treatment,0.000946
68_69,Female,Active_Noninjection,No_Treatment,0.00023
68_69,Female,Active_Injection,No_Treatment,0.00023
68_69,Female,Nonactive_Noninjection,No_Treatment,0.000154
68_69,Female,Nonactive_Injection,No_Treatment,0.000154
70_71,Male,Active_Noninjection,No_Treatment,0.001418
70_71,Male,Active_Injection,No_Treatment,0.001418
70_71,Male,Nonactive_Noninjection,No_Treatment,0.000946
70_71,Male,Nonactive_Injection,No_Treatment,0.000946
70_71,Female,Active_Noninjection,No_Treatment,0.00023
70_71,Female,Active_Injection,No_Treatment,0.00023
70_71,Female,Nonactive_Noninjection,No_Treatment,0.000154
70_71,Female,Nonactive_Injection,No_Treatment,0.000154
72_73,Male,Active_Noninjection,No_Treatment,0.001418
72_73,Male,Active_Injection,No_Treatment,0.001418
72_73,Male,Nonactive_Noninjection,No_Treatment,0.000946
72_73,Male,Nonactive_Injection,No_Treatment,0.000946
72_73,Female,Active_Noninjection,No_Treatment,0.00023
72_73,Female,Active_Injection,No_Treatment,0.00023
72_73,Female,Nonactive_Noninjection,No_Treatment,0.000154
72_73,Female,Nonactive_Injection,No_Treatment,0.000154
74_75,Male,Active_Noninjection,No_Treatment,0.001418
74_75,Male,Active_Injection,No_Treatment,0.001418
74_75,Male,Nonactive_Noninjection,No_Treatment,0.000946
74_75,Male,Nonactive_Injection,No_Treatment,0.000946
74_75,Female,Active_Noninjection,No_Treatment,0.00023
74_75,Female,Active_Injection,No_Treatment,0.00023
74_75,Female,Nonactive_Noninjection,No_Treatment,0.000154
74_75,Female,Nonactive_Injection,No_Treatment,0.000154
76_77,Male,Active_Noninjection,No_Treatment,0.001418
76_77,Male,Active_Injection,No_Treatment,0.001418
76_77,Male,Nonactive_Noninjection,No_Treatment,0.000946
76_77,Male,Nonactive_Injection,No_Treatment,0.000946
76_77,Female,Active_Noninjection,No_Treatment,0.00023
76_77,Female,Active_Injection,No_Treatment,0.00023
76_77,Female,Nonactive_Noninjection,No_Treatment,0.000154
76_77,Female,Nonactive_Injection,No_Treatment,0.000154
78_79,Male,Active_Noninjection,No_Treatment,0.001418
