,No_Treatment_healthcare_system,Buprenorphine_healthcare_system,Naltrexone_healthcare_system,Methadone_healthcare_system,Corrections_healthcare_system,section_healthcare_system,diaspora_healthcare_system,Post-Buprenorphine_healthcare_system,Post-Naltrexone_healthcare_system,Post-Methadone_healthcare_system,Post-Corrections_healthcare_system,post-section_healthcare_system,post-diaspora_healthcare_system
1,2841195378.59184,217138551.234784,13949848.5068547,106971858.049796,20636834.15039,0,0,47610832.321791,4796404.51442337,22052871.3343713,4873758.09760282,0,0
2,2682842520.35349,215553425.637574,15033682.2160637,75943860.0635907,23383659.9125368,0,0,50621285.9259981,5700396.45333127,16587217.9489842,6031004.66585499,0,0
