,No_Treatment_healthcare_system,Buprenorphine_healthcare_system,Naltrexone_healthcare_system,Methadone_healthcare_system,Corrections_healthcare_system,section_healthcare_system,diaspora_healthcare_system,Post-Buprenorphine_healthcare_system,Post-Naltrexone_healthcare_system,Post-Methadone_healthcare_system,Post-Corrections_healthcare_system,post-section_healthcare_system,post-diaspora_healthcare_system
1,36890924.5268773,713925.193868781,45730.9749111708,872458.548242817,83893.4467254106,0,0,1509046.16470747,116353.667825015,679898.53516044,213906.046496048,0,0
2,34755237.4242115,685085.411381906,49682.1288754968,580627.981186213,95725.9544815573,0,0,1564545.51668707,141205.800912361,494658.757152535,270889.571620659,0,0
