,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.000131128684994152,0.000265489925216133,3.86294274102508e-05,7.81551241996725e-05,0.000854876872950265,0.00173675294965101,5.31983847311765e-05,0.000108041142175913,0.000854876872950265,0.00173675294965101,5.31983847311765e-05,0.000108041142175913,0.00336269817541553,0.00682106556452726,0.000255386649134903,0.000517954895790195,0.0058689808072029,0.0118958172514412,0.000395374764933166,0.00080138508628542,0.0058689808072029,0.0118958172514412,0.000395374764933166,0.00080138508628542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000340468532245753,0.000690422542475318,0.000100341731086352,0.000203222449075913,0.0022124989588938,0.00450087463226691,0.000137884685269145,0.000280454236732247,0.0022124989588938,0.00450087463226691,0.000137884685269145,0.000280454236732247,0.00869665597622992,0.0176596661104756,0.000661504830723924,0.00134344285475091,0.0151675808393697,0.030768472741629,0.00102346509139247,0.00207713811777124,0.0151675808393697,0.030768472741629,0.00102346509139247,0.00207713811777124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000591145710592679,0.00120072060796926,0.00017430205511051,0.000353403613512842,0.00383495814363183,0.00781203182012452,0.000239817668675104,0.000488532308758021,0.00383495814363183,0.00781203182012452,0.000239817668675104,0.000488532308758021,0.0150488844783968,0.0305933096953568,0.00114699231462034,0.00233272894365616,0.0262245951507104,0.0532461485782936,0.00177310800347479,0.00360343031000043,0.0262245951507104,0.0532461485782936,0.00177310800347479,0.00360343031000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.000858020463656794,0.00174570051863684,0.000253118394710516,0.000513796255966125,0.00556502158984517,0.0113519240248377,0.000349844402506194,0.00071377900911203,0.00556502158984517,0.0113519240248377,0.000349844402506194,0.00071377900911203,0.0217812172125033,0.0443321330425969,0.00166417887548205,0.00338955709059912,0.0379206800619807,0.077067596992129,0.00256988643542913,0.00523006423411935,0.0379206800619807,0.077067596992129,0.00256988643542913,0.00523006423411935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00112444292959983,0.00229163094158911,0.000331888296225863,0.000674486169813161,0.00730182671108676,0.0149156359250503,0.000462239172811515,0.000944583887886521,0.00730182671108676,0.0149156359250503,0.000462239172811515,0.000944583887886521,0.0284793103441883,0.0580362369283885,0.00218210762043689,0.00445119237389216,0.0495292037895286,0.100761673656259,0.00336538666265506,0.00685897750579248,0.0495292037895286,0.100761673656259,0.00336538666265506,0.00685897750579248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00137983474197987,0.00281693314775012,0.00040748932994921,0.000829129741892754,0.00898341208055754,0.0183766250093723,0.000573552486896643,0.0011739149181541,0.00898341208055754,0.0183766250093723,0.000573552486896643,0.0011739149181541,0.0348861081105424,0.0711822080243299,0.00268148881593434,0.00547832949504084,0.0605998370535297,0.123413309475694,0.00412941061453917,0.00842867123492977,0.0605998370535297,0.123413309475694,0.00412941061453917,0.00842867123492977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00161790180620136,0.00330863109455137,0.000478055399335864,0.000973908094032618,0.0105742643788331,0.0216617356537607,0.000681820513003407,0.00139773228242355,0.0105742643788331,0.0216617356537607,0.000681820513003407,0.00139773228242355,0.0408535368484032,0.0834662257025426,0.00315107266187092,0.00644783765689854,0.0708739515809577,0.14449358643396,0.00484436042073384,0.00990298388716453,0.0708739515809577,0.14449358643396,0.00484436042073384,0.00990298388716453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00183532440812268,0.00375974514778438,0.000542593281869253,0.00110676088971127,0.0120565185527643,0.0247335248798611,0.00078602788605048,0.00161391002795827,0.0120565185527643,0.0247335248798611,0.00078602788605048,0.00161391002795827,0.0463076985548396,0.094734230143153,0.00358505947995595,0.00734757782493008,0.0802235726081936,0.163737165337601,0.00550121423013233,0.0112630433661004,0.0802235726081936,0.163737165337601,0.00550121423013233,0.0112630433661004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
