"block","agegrp","sex","oud","all_types_overdose_cycle52","all_types_overdose_cycle104","all_types_overdose_cycle156"
"No_Treatment","10_11","Male","Active_Noninjection",0.000142146350631413,0.000519739711302922,0.00017893358153843
"No_Treatment","10_11","Male","Active_Injection",0.000855923068312061,0.00312957178602173,0.00107743448533243
"No_Treatment","10_11","Female","Active_Noninjection",0.000205740560912875,0.000581623988539917,0.000529654496484135
"No_Treatment","10_11","Female","Active_Injection",0.00123885060285098,0.00350220309324615,0.00318927288503879
"No_Treatment","12_13","Male","Active_Noninjection",0.000142146350631413,0.000519739711302922,0.00017893358153843
"No_Treatment","12_13","Male","Active_Injection",0.000855923068312061,0.00312957178602173,0.00107743448533243
"No_Treatment","12_13","Female","Active_Noninjection",0.000205740560912875,0.000581623988539917,0.000529654496484135
"No_Treatment","12_13","Female","Active_Injection",0.00123885060285098,0.00350220309324615,0.00318927288503879
"No_Treatment","14_15","Male","Active_Noninjection",0.000142146350631413,0.000519739711302922,0.00017893358153843
"No_Treatment","14_15","Male","Active_Injection",0.000855923068312061,0.00312957178602173,0.00107743448533243
"No_Treatment","14_15","Female","Active_Noninjection",0.000205740560912875,0.000581623988539917,0.000529654496484135
"No_Treatment","14_15","Female","Active_Injection",0.00123885060285098,0.00350220309324615,0.00318927288503879
"No_Treatment","16_17","Male","Active_Noninjection",0.000142146350631413,0.000519739711302922,0.00017893358153843
"No_Treatment","16_17","Male","Active_Injection",0.000855923068312061,0.00312957178602173,0.00107743448533243
"No_Treatment","16_17","Female","Active_Noninjection",0.000205740560912875,0.000581623988539917,0.000529654496484135
"No_Treatment","16_17","Female","Active_Injection",0.00123885060285098,0.00350220309324615,0.00318927288503879
"No_Treatment","18_19","Male","Active_Noninjection",0.000142146350631413,0.000519739711302922,0.00017893358153843
"No_Treatment","18_19","Male","Active_Injection",0.000855923068312061,0.00312957178602173,0.00107743448533243
"No_Treatment","18_19","Female","Active_Noninjection",0.000205740560912875,0.000581623988539917,0.000529654496484135
"No_Treatment","18_19","Female","Active_Injection",0.00123885060285098,0.00350220309324615,0.00318927288503879
"No_Treatment","20_21","Male","Active_Noninjection",0.0017510468938657,0.00123555768367094,0.00102016798582007
"No_Treatment","20_21","Male","Active_Injection",0.0105437911244176,0.00743981339645077,0.00614286127458193
"No_Treatment","20_21","Female","Active_Noninjection",0.00197482554261469,0.00150865025620005,0.000986318303998293
"No_Treatment","20_21","Female","Active_Injection",0.0118912566541983,0.00908421883896867,0.00593903807829454
"No_Treatment","22_23","Male","Active_Noninjection",0.0017510468938657,0.00123555768367094,0.00102016798582007
"No_Treatment","22_23","Male","Active_Injection",0.0105437911244176,0.00743981339645077,0.00614286127458193
"No_Treatment","22_23","Female","Active_Noninjection",0.00197482554261469,0.00150865025620005,0.000986318303998293
"No_Treatment","22_23","Female","Active_Injection",0.0118912566541983,0.00908421883896867,0.00593903807829454
"No_Treatment","24_25","Male","Active_Noninjection",0.00117251991752596,0.00109704386286772,0.000972456531369008
"No_Treatment","24_25","Male","Active_Injection",0.00706023644650674,0.00660576332074435,0.0058555705048507
"No_Treatment","24_25","Female","Active_Noninjection",0.00122348819293425,0.00102132991350321,0.000829209254482533
"No_Treatment","24_25","Female","Active_Injection",0.00736713790743244,0.00614985773072232,0.0049930182956987
"No_Treatment","26_27","Male","Active_Noninjection",0.000593992941186215,0.000958530042064492,0.000924745076917946
"No_Treatment","26_27","Male","Active_Injection",0.00357668176859588,0.00577171324503793,0.00556827973511946
"No_Treatment","26_27","Female","Active_Noninjection",0.000472150843253819,0.000534009570806366,0.000672100204966773
"No_Treatment","26_27","Female","Active_Injection",0.00284301916066657,0.00321549662247596,0.00404699851310286
"No_Treatment","28_29","Male","Active_Noninjection",0.000593992941186215,0.000958530042064492,0.000924745076917946
"No_Treatment","28_29","Male","Active_Injection",0.00357668176859588,0.00577171324503793,0.00556827973511946
"No_Treatment","28_29","Female","Active_Noninjection",0.000472150843253819,0.000534009570806366,0.000672100204966773
"No_Treatment","28_29","Female","Active_Injection",0.00284301916066657,0.00321549662247596,0.00404699851310286
