"block","agegrp","sex","initial_status","to_Active_Noninjection","to_Active_Injection","to_Nonactive_Noninjection","to_Nonactive_Injection"
"No_Treatment","10_11","Male","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","10_11","Male","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","10_11","Male","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","10_11","Male","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","10_11","Female","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","10_11","Female","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","10_11","Female","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","10_11","Female","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","12_13","Male","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","12_13","Male","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","12_13","Male","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","12_13","Male","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","12_13","Female","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","12_13","Female","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","12_13","Female","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","12_13","Female","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","14_15","Male","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","14_15","Male","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","14_15","Male","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","14_15","Male","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","14_15","Female","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","14_15","Female","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","14_15","Female","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","14_15","Female","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","16_17","Male","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","16_17","Male","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","16_17","Male","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","16_17","Male","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","16_17","Female","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","16_17","Female","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","16_17","Female","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","16_17","Female","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","18_19","Male","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","18_19","Male","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","18_19","Male","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","18_19","Male","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","18_19","Female","Active_Noninjection",0.998716147712815,0.000841480445233804,0.000442371841950746,0
"No_Treatment","18_19","Female","Active_Injection",0.000762411477124793,0.998238006566666,0,0.000999581956209481
"No_Treatment","18_19","Female","Nonactive_Noninjection",0.00268524391896269,0.000277691203131998,0.997037064877905,0
"No_Treatment","18_19","Female","Nonactive_Injection",9.97773324987727e-05,0.00335427876736129,0,0.99654594390014
"No_Treatment","20_21","Male","Active_Noninjection",0.998796612689521,0.000824273679448873,0.000379113631030501,0
"No_Treatment","20_21","Male","Active_Injection",0.000752839693873598,0.998533423903565,0,0.000713736402561169
"No_Treatment","20_21","Male","Nonactive_Noninjection",0.00308629335712066,0.00022918038631852,0.996684526256561,0
"No_Treatment","20_21","Male","Nonactive_Injection",0.000271291686132213,0.00357095973092146,0,0.996157748582946
"No_Treatment","20_21","Female","Active_Noninjection",0.998796612689521,0.000824273679448873,0.000379113631030501,0
"No_Treatment","20_21","Female","Active_Injection",0.000752839693873598,0.998533423903565,0,0.000713736402561169
"No_Treatment","20_21","Female","Nonactive_Noninjection",0.00308629335712066,0.00022918038631852,0.996684526256561,0
"No_Treatment","20_21","Female","Nonactive_Injection",0.000271291686132213,0.00357095973092146,0,0.996157748582946
"No_Treatment","22_23","Male","Active_Noninjection",0.998796612689521,0.000824273679448873,0.000379113631030501,0
"No_Treatment","22_23","Male","Active_Injection",0.000752839693873598,0.998533423903565,0,0.000713736402561169
"No_Treatment","22_23","Male","Nonactive_Noninjection",0.00308629335712066,0.00022918038631852,0.996684526256561,0
"No_Treatment","22_23","Male","Nonactive_Injection",0.000271291686132213,0.00357095973092146,0,0.996157748582946
"No_Treatment","22_23","Female","Active_Noninjection",0.998796612689521,0.000824273679448873,0.000379113631030501,0
"No_Treatment","22_23","Female","Active_Injection",0.000752839693873598,0.998533423903565,0,0.000713736402561169
"No_Treatment","22_23","Female","Nonactive_Noninjection",0.00308629335712066,0.00022918038631852,0.996684526256561,0
"No_Treatment","22_23","Female","Nonactive_Injection",0.000271291686132213,0.00357095973092146,0,0.996157748582946
"No_Treatment","24_25","Male","Active_Noninjection",0.998656621263142,0.000935519207513712,0.00040785952934501,0
"No_Treatment","24_25","Male","Active_Injection",0.000823811558563449,0.998291163781615,0,0.000885024659821475
"No_Treatment","24_25","Male","Nonactive_Noninjection",0.00302527906849795,0.000240656016079978,0.996734064915422,0
"No_Treatment","24_25","Male","Nonactive_Injection",0.000260683661679865,0.00369334649067424,0,0.996045969847646
"No_Treatment","24_25","Female","Active_Noninjection",0.998656621263142,0.000935519207513712,0.00040785952934501,0
"No_Treatment","24_25","Female","Active_Injection",0.000823811558563449,0.998291163781615,0,0.000885024659821475
"No_Treatment","24_25","Female","Nonactive_Noninjection",0.00302527906849795,0.000240656016079978,0.996734064915422,0
"No_Treatment","24_25","Female","Nonactive_Injection",0.000260683661679865,0.00369334649067424,0,0.996045969847646
"No_Treatment","26_27","Male","Active_Noninjection",0.998516629836762,0.00104676473557855,0.000436605427659518,0
"No_Treatment","26_27","Male","Active_Injection",0.000894783423253301,0.998048903659665,0,0.00105631291708178
"No_Treatment","26_27","Male","Nonactive_Noninjection",0.00296426477987524,0.000252131645841436,0.996783603574283,0
"No_Treatment","26_27","Male","Nonactive_Injection",0.000250075637227517,0.00381573325042702,0,0.995934191112345
"No_Treatment","26_27","Female","Active_Noninjection",0.998516629836762,0.00104676473557855,0.000436605427659518,0
"No_Treatment","26_27","Female","Active_Injection",0.000894783423253301,0.998048903659665,0,0.00105631291708178
"No_Treatment","26_27","Female","Nonactive_Noninjection",0.00296426477987524,0.000252131645841436,0.996783603574283,0
"No_Treatment","26_27","Female","Nonactive_Injection",0.000250075637227517,0.00381573325042702,0,0.995934191112345
"No_Treatment","28_29","Male","Active_Noninjection",0.998516629836762,0.00104676473557855,0.000436605427659518,0
"No_Treatment","28_29","Male","Active_Injection",0.000894783423253301,0.998048903659665,0,0.00105631291708178
"No_Treatment","28_29","Male","Nonactive_Noninjection",0.00296426477987524,0.000252131645841436,0.996783603574283,0
"No_Treatment","28_29","Male","Nonactive_Injection",0.000250075637227517,0.00381573325042702,0,0.995934191112345
"No_Treatment","28_29","Female","Active_Noninjection",0.998516629836762,0.00104676473557855,0.000436605427659518,0
"No_Treatment","28_29","Female","Active_Injection",0.000894783423253301,0.998048903659665,0,0.00105631291708178
"No_Treatment","28_29","Female","Nonactive_Noninjection",0.00296426477987524,0.000252131645841436,0.996783603574283,0
"No_Treatment","28_29","Female","Nonactive_Injection",0.000250075637227517,0.00381573325042702,0,0.995934191112345
"No_Treatment","30_31","Male","Active_Noninjection",0.998516629836762,0.00104676473557855,0.000436605427659518,0
"No_Treatment","30_31","Male","Active_Injection",0.000894783423253301,0.998048903659665,0,0.00105631291708178
"No_Treatment","30_31","Male","Nonactive_Noninjection",0.00296426477987524,0.000252131645841436,0.996783603574283,0
"No_Treatment","30_31","Male","Nonactive_Injection",0.000250075637227517,0.00381573325042702,0,0.995934191112345
"No_Treatment","30_31","Female","Active_Noninjection",0.998516629836762,0.00104676473557855,0.000436605427659518,0
