"agegrp","sex","number_of_new_comers_cycle52","number_of_new_comers_cycle104","number_of_new_comers_cycle156"
"10_11","Male",11.2942159764776,6.86207304429112,44.379766298674
"10_11","Female",5.96053072955292,2.93500214273145,12.8544277221585
"12_13","Male",11.2942159764776,6.86207304429112,44.379766298674
"12_13","Female",5.96053072955292,2.93500214273145,12.8544277221585
"14_15","Male",11.2942159764776,6.86207304429112,44.379766298674
"14_15","Female",5.96053072955292,2.93500214273145,12.8544277221585
"16_17","Male",11.2942159764776,6.86207304429112,44.379766298674
"16_17","Female",5.96053072955292,2.93500214273145,12.8544277221585
"18_19","Male",11.2942159764776,6.86207304429112,44.379766298674
"18_19","Female",5.96053072955292,2.93500214273145,12.8544277221585
"20_21","Male",27.4602310547855,13.3374611410518,57.311747129262
"20_21","Female",9.35869308274828,6.0158035279744,36.5662906244208
"22_23","Male",27.4602310547855,13.3374611410518,57.311747129262
"22_23","Female",9.35869308274828,6.0158035279744,36.5662906244208
"24_25","Male",19.9160906849085,10.0902584464207,51.7473115994588
"24_25","Female",6.54888570009001,3.93816432218556,32.4268934620062
"26_27","Male",12.3719503150315,6.84305575178964,46.1828760696556
"26_27","Female",3.73907831743174,1.86052511639672,28.2874962995917
"28_29","Male",12.3719503150315,6.84305575178964,46.1828760696556
"28_29","Female",3.73907831743174,1.86052511639672,28.2874962995917
"30_31","Male",12.3719503150315,6.84305575178964,46.1828760696556
"30_31","Female",3.73907831743174,1.86052511639672,28.2874962995917
"32_33","Male",12.3719503150315,6.84305575178964,46.1828760696556
"32_33","Female",3.73907831743174,1.86052511639672,28.2874962995917
"34_35","Male",6.95395251781179,4.01740304094181,26.4003706611451
"34_35","Female",2.17013172933293,1.33596479823035,15.5203158244161
"36_37","Male",1.53595472059206,1.19175033009398,6.61786525263464
"36_37","Female",0.601185141234124,0.811404480063988,2.75313534924059
"38_39","Male",1.53595472059206,1.19175033009398,6.61786525263464
"38_39","Female",0.601185141234124,0.811404480063988,2.75313534924059
"40_41","Male",1.53595472059206,1.19175033009398,6.61786525263464
"40_41","Female",0.601185141234124,0.811404480063988,2.75313534924059
"42_43","Male",1.53595472059206,1.19175033009398,6.61786525263464
"42_43","Female",0.601185141234124,0.811404480063988,2.75313534924059
"44_45","Male",1.53595472059206,1.19175033009398,6.61786525263464
"44_45","Female",0.601185141234124,0.811404480063988,2.75313534924059
"46_47","Male",1.53595472059206,1.19175033009398,6.61786525263464
"46_47","Female",0.601185141234124,0.811404480063988,2.75313534924059
"48_49","Male",1.53595472059206,1.19175033009398,6.61786525263464
"48_49","Female",0.601185141234124,0.811404480063988,2.75313534924059
"50_51","Male",0,0.103961199008198,0.236536980709403
"50_51","Female",0,0,0
"52_53","Male",0,0.103961199008198,0.236536980709403
"52_53","Female",0,0,0
"54_55","Male",0,0.103961199008198,0.236536980709403
"54_55","Female",0,0,0
"56_57","Male",0,0.103961199008198,0.236536980709403
"56_57","Female",0,0,0
"58_59","Male",0,0.103961199008198,0.236536980709403
"58_59","Female",0,0,0
"60_61","Male",0,0.103961199008198,0.236536980709403
"60_61","Female",0,0,0
"62_63","Male",0,0.103961199008198,0.236536980709403
"62_63","Female",0,0,0
"64_65","Male",0,0.103961199008198,0.236536980709403
"64_65","Female",0,0,0
"66_67","Male",0,0.103961199008198,0.236536980709403
"66_67","Female",0,0,0
"68_69","Male",0,0.103961199008198,0.236536980709403
"68_69","Female",0,0,0
"70_71","Male",0,0.103961199008198,0.236536980709403
"70_71","Female",0,0,0
"72_73","Male",0,0.103961199008198,0.236536980709403
"72_73","Female",0,0,0
"74_75","Male",0,0.103961199008198,0.236536980709403
"74_75","Female",0,0,0
"76_77","Male",0,0.103961199008198,0.236536980709403
"76_77","Female",0,0,0
"78_79","Male",0,0.103961199008198,0.236536980709403
"78_79","Female",0,0,0
"80_81","Male",0,0.103961199008198,0.236536980709403
"80_81","Female",0,0,0
"82_83","Male",0,0.103961199008198,0.236536980709403
"82_83","Female",0,0,0
"84_85","Male",0,0.103961199008198,0.236536980709403
"84_85","Female",0,0,0
"86_87","Male",0,0.103961199008198,0.236536980709403
"86_87","Female",0,0,0
"88_89","Male",0,0.103961199008198,0.236536980709403
"88_89","Female",0,0,0
"90_91","Male",0,0.103961199008198,0.236536980709403
"90_91","Female",0,0,0
"92_93","Male",0,0.103961199008198,0.236536980709403
"92_93","Female",0,0,0
"94_95","Male",0,0.103961199008198,0.236536980709403
"94_95","Female",0,0,0
"96_97","Male",0,0.103961199008198,0.236536980709403
"96_97","Female",0,0,0
"98_99","Male",0,0.103961199008198,0.236536980709403
"98_99","Female",0,0,0
