"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"10_11","Male","Active_Noninjection","No_Treatment",0.982836078857076,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0061547592086281,0,0.982325324504713,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00666551356099112,0,0.983572847276431,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00541799078927239,0
"10_11","Male","Active_Injection","No_Treatment",0.982836078857076,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0061547592086281,0,0.982325324504713,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00666551356099112,0,0.983572847276431,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00541799078927239,0
"10_11","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Active_Noninjection","No_Treatment",0.970114007634048,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107167287236784,0,0.969224677011489,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0116060593462379,0,0.971396876226428,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00943386013129877,0
"10_11","Female","Active_Injection","No_Treatment",0.970114007634048,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107167287236784,0,0.969224677011489,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0116060593462379,0,0.971396876226428,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00943386013129877,0
"10_11","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Active_Noninjection","No_Treatment",0.982836078857076,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0061547592086281,0,0.982325324504713,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00666551356099112,0,0.983572847276431,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00541799078927239,0
"12_13","Male","Active_Injection","No_Treatment",0.982836078857076,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0061547592086281,0,0.982325324504713,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00666551356099112,0,0.983572847276431,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00541799078927239,0
"12_13","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Female","Active_Noninjection","No_Treatment",0.970114007634048,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107167287236784,0,0.969224677011489,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0116060593462379,0,0.971396876226428,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00943386013129877,0
"12_13","Female","Active_Injection","No_Treatment",0.970114007634048,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107167287236784,0,0.969224677011489,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0116060593462379,0,0.971396876226428,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.00943386013129877,0
