"block","agegrp","sex","initial_status","to_Active_Noninjection","to_Active_Injection","to_Nonactive_Noninjection","to_Nonactive_Injection"
"No_Treatment","10_11","Male","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","10_11","Male","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","10_11","Male","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","10_11","Male","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","10_11","Female","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","10_11","Female","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","10_11","Female","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","10_11","Female","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","12_13","Male","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","12_13","Male","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","12_13","Male","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","12_13","Male","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","12_13","Female","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","12_13","Female","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","12_13","Female","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","12_13","Female","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","14_15","Male","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","14_15","Male","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","14_15","Male","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","14_15","Male","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","14_15","Female","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","14_15","Female","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","14_15","Female","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","14_15","Female","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","16_17","Male","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","16_17","Male","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","16_17","Male","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","16_17","Male","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","16_17","Female","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","16_17","Female","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","16_17","Female","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","16_17","Female","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","18_19","Male","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","18_19","Male","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","18_19","Male","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","18_19","Male","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","18_19","Female","Active_Noninjection",0.99847009785232,0.000945080478495416,0.000584821669184164,0
"No_Treatment","18_19","Female","Active_Injection",0.000695804610651716,0.998815636094693,0,0.000488559294655358
"No_Treatment","18_19","Female","Nonactive_Noninjection",0.00379869125908766,0.000253562125916049,0.995947746614996,0
"No_Treatment","18_19","Female","Nonactive_Injection",0.000180738890786708,0.0030200123595476,0,0.996799248749666
"No_Treatment","20_21","Male","Active_Noninjection",0.998288685089899,0.000974412565607644,0.000736902344493718,0
"No_Treatment","20_21","Male","Active_Injection",0.000843563224465437,0.998505346562037,0,0.000651090213497554
"No_Treatment","20_21","Male","Nonactive_Noninjection",0.00335258886852543,0.000350288387902228,0.996297122743572,0
"No_Treatment","20_21","Male","Nonactive_Injection",0.000193661351209753,0.00330963998826369,0,0.996496698660527
"No_Treatment","20_21","Female","Active_Noninjection",0.998288685089899,0.000974412565607644,0.000736902344493718,0
"No_Treatment","20_21","Female","Active_Injection",0.000843563224465437,0.998505346562037,0,0.000651090213497554
"No_Treatment","20_21","Female","Nonactive_Noninjection",0.00335258886852543,0.000350288387902228,0.996297122743572,0
"No_Treatment","20_21","Female","Nonactive_Injection",0.000193661351209753,0.00330963998826369,0,0.996496698660527
"No_Treatment","22_23","Male","Active_Noninjection",0.998288685089899,0.000974412565607644,0.000736902344493718,0
"No_Treatment","22_23","Male","Active_Injection",0.000843563224465437,0.998505346562037,0,0.000651090213497554
"No_Treatment","22_23","Male","Nonactive_Noninjection",0.00335258886852543,0.000350288387902228,0.996297122743572,0
"No_Treatment","22_23","Male","Nonactive_Injection",0.000193661351209753,0.00330963998826369,0,0.996496698660527
"No_Treatment","22_23","Female","Active_Noninjection",0.998288685089899,0.000974412565607644,0.000736902344493718,0
"No_Treatment","22_23","Female","Active_Injection",0.000843563224465437,0.998505346562037,0,0.000651090213497554
"No_Treatment","22_23","Female","Nonactive_Noninjection",0.00335258886852543,0.000350288387902228,0.996297122743572,0
"No_Treatment","22_23","Female","Nonactive_Injection",0.000193661351209753,0.00330963998826369,0,0.996496698660527
"No_Treatment","24_25","Male","Active_Noninjection",0.99835653993871,0.000977531857972467,0.000665928203317019,0
"No_Treatment","24_25","Male","Active_Injection",0.000757531243764211,0.998747435798043,0,0.000495032958192361
"No_Treatment","24_25","Male","Nonactive_Noninjection",0.00323883159379377,0.000247943625330494,0.996513224780875,0
"No_Treatment","24_25","Male","Nonactive_Injection",0.00021959492353408,0.00267348645686698,0,0.997106918619599
"No_Treatment","24_25","Female","Active_Noninjection",0.99835653993871,0.000977531857972467,0.000665928203317019,0
"No_Treatment","24_25","Female","Active_Injection",0.000757531243764211,0.998747435798043,0,0.000495032958192361
"No_Treatment","24_25","Female","Nonactive_Noninjection",0.00323883159379377,0.000247943625330494,0.996513224780875,0
"No_Treatment","24_25","Female","Nonactive_Injection",0.00021959492353408,0.00267348645686698,0,0.997106918619599
"No_Treatment","26_27","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","26_27","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","26_27","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","26_27","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","26_27","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","26_27","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","26_27","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","26_27","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","28_29","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","28_29","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","28_29","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","28_29","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","28_29","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","28_29","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","28_29","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","28_29","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","30_31","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","30_31","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","30_31","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","30_31","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","30_31","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","30_31","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","30_31","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","30_31","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","32_33","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","32_33","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","32_33","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","32_33","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","32_33","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","32_33","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","32_33","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","32_33","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","34_35","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","34_35","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","34_35","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","34_35","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","34_35","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","34_35","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","34_35","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","34_35","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","36_37","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","36_37","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","36_37","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","36_37","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","36_37","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","36_37","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","36_37","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","36_37","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","38_39","Male","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","38_39","Male","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","38_39","Male","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","38_39","Male","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","38_39","Female","Active_Noninjection",0.998424394787522,0.000980651150337289,0.000594954062140321,0
"No_Treatment","38_39","Female","Active_Injection",0.000671499263062985,0.99898952503405,0,0.000338975702887168
"No_Treatment","38_39","Female","Nonactive_Noninjection",0.00312507431906212,0.00014559886275876,0.996729326818179,0
"No_Treatment","38_39","Female","Nonactive_Injection",0.000245528495858407,0.00203733292547027,0,0.997717138578671
"No_Treatment","40_41","Male","Active_Noninjection",0.998576462978082,0.00102260749577335,0.000400929526144196,0
"No_Treatment","40_41","Male","Active_Injection",0.000972482072083836,0.998425615942729,0,0.000601901985187508
"No_Treatment","40_41","Male","Nonactive_Noninjection",0.00241143076126409,0.000126472600544065,0.997462096638192,0
"No_Treatment","40_41","Male","Nonactive_Injection",0.000211912116687952,0.00311225296774837,0,0.996675834915564
"No_Treatment","40_41","Female","Active_Noninjection",0.998576462978082,0.00102260749577335,0.000400929526144196,0
"No_Treatment","40_41","Female","Active_Injection",0.000972482072083836,0.998425615942729,0,0.000601901985187508
"No_Treatment","40_41","Female","Nonactive_Noninjection",0.00241143076126409,0.000126472600544065,0.997462096638192,0
"No_Treatment","40_41","Female","Nonactive_Injection",0.000211912116687952,0.00311225296774837,0,0.996675834915564
"No_Treatment","42_43","Male","Active_Noninjection",0.998576462978082,0.00102260749577335,0.000400929526144196,0
"No_Treatment","42_43","Male","Active_Injection",0.000972482072083836,0.998425615942729,0,0.000601901985187508
"No_Treatment","42_43","Male","Nonactive_Noninjection",0.00241143076126409,0.000126472600544065,0.997462096638192,0
"No_Treatment","42_43","Male","Nonactive_Injection",0.000211912116687952,0.00311225296774837,0,0.996675834915564
"No_Treatment","42_43","Female","Active_Noninjection",0.998576462978082,0.00102260749577335,0.000400929526144196,0
"No_Treatment","42_43","Female","Active_Injection",0.000972482072083836,0.998425615942729,0,0.000601901985187508
"No_Treatment","42_43","Female","Nonactive_Noninjection",0.00241143076126409,0.000126472600544065,0.997462096638192,0
"No_Treatment","42_43","Female","Nonactive_Injection",0.000211912116687952,0.00311225296774837,0,0.996675834915564
"No_Treatment","44_45","Male","Active_Noninjection",0.998576462978082,0.00102260749577335,0.000400929526144196,0
"No_Treatment","44_45","Male","Active_Injection",0.000972482072083836,0.998425615942729,0,0.000601901985187508
"No_Treatment","44_45","Male","Nonactive_Noninjection",0.00241143076126409,0.000126472600544065,0.997462096638192,0
"No_Treatment","44_45","Male","Nonactive_Injection",0.000211912116687952,0.00311225296774837,0,0.996675834915564
