"block","agegrp","sex","oud","all_types_overdose_cycle52","all_types_overdose_cycle104","all_types_overdose_cycle156"
"No_Treatment","10_11","Male","Active_Noninjection",0.000136910629047109,0.000500595973791541,0.000172342864218879
"No_Treatment","10_11","Male","Active_Injection",0.000824396582662879,0.0030142992765488,0.00103774899945488
"No_Treatment","10_11","Female","Active_Noninjection",0.00019816245362589,0.000560200847831624,0.000510145564547808
"No_Treatment","10_11","Female","Active_Injection",0.00119321962595807,0.00337320533673343,0.00307180138606425
"No_Treatment","12_13","Male","Active_Noninjection",0.000136910629047109,0.000500595973791541,0.000172342864218879
"No_Treatment","12_13","Male","Active_Injection",0.000824396582662879,0.0030142992765488,0.00103774899945488
"No_Treatment","12_13","Female","Active_Noninjection",0.00019816245362589,0.000560200847831624,0.000510145564547808
"No_Treatment","12_13","Female","Active_Injection",0.00119321962595807,0.00337320533673343,0.00307180138606425
"No_Treatment","14_15","Male","Active_Noninjection",0.000136910629047109,0.000500595973791541,0.000172342864218879
"No_Treatment","14_15","Male","Active_Injection",0.000824396582662879,0.0030142992765488,0.00103774899945488
"No_Treatment","14_15","Female","Active_Noninjection",0.00019816245362589,0.000560200847831624,0.000510145564547808
"No_Treatment","14_15","Female","Active_Injection",0.00119321962595807,0.00337320533673343,0.00307180138606425
"No_Treatment","16_17","Male","Active_Noninjection",0.000136910629047109,0.000500595973791541,0.000172342864218879
"No_Treatment","16_17","Male","Active_Injection",0.000824396582662879,0.0030142992765488,0.00103774899945488
"No_Treatment","16_17","Female","Active_Noninjection",0.00019816245362589,0.000560200847831624,0.000510145564547808
"No_Treatment","16_17","Female","Active_Injection",0.00119321962595807,0.00337320533673343,0.00307180138606425
"No_Treatment","18_19","Male","Active_Noninjection",0.000136910629047109,0.000500595973791541,0.000172342864218879
"No_Treatment","18_19","Male","Active_Injection",0.000824396582662879,0.0030142992765488,0.00103774899945488
"No_Treatment","18_19","Female","Active_Noninjection",0.00019816245362589,0.000560200847831624,0.000510145564547808
"No_Treatment","18_19","Female","Active_Injection",0.00119321962595807,0.00337320533673343,0.00307180138606425
"No_Treatment","20_21","Male","Active_Noninjection",0.00168655002865167,0.00119004799591383,0.000982591815068955
"No_Treatment","20_21","Male","Active_Injection",0.01015542832421,0.00716578039166408,0.00591659931835269
"No_Treatment","20_21","Female","Active_Noninjection",0.00190208616750747,0.00145308166316572,0.000949988929305951
"No_Treatment","20_21","Female","Active_Injection",0.0114532622290701,0.00874961692734411,0.00572028360645335
"No_Treatment","22_23","Male","Active_Noninjection",0.00168655002865167,0.00119004799591383,0.000982591815068955
"No_Treatment","22_23","Male","Active_Injection",0.01015542832421,0.00716578039166408,0.00591659931835269
"No_Treatment","22_23","Female","Active_Noninjection",0.00190208616750747,0.00145308166316572,0.000949988929305951
"No_Treatment","22_23","Female","Active_Injection",0.0114532622290701,0.00874961692734411,0.00572028360645335
"No_Treatment","24_25","Male","Active_Noninjection",0.00112933211978829,0.00105663609857246,0.000936637731741234
"No_Treatment","24_25","Male","Active_Injection",0.00680018451981946,0.00636245114673782,0.00563989042059615
"No_Treatment","24_25","Female","Active_Noninjection",0.00117842306455473,0.000983710945101482,0.000798666727204741
"No_Treatment","24_25","Female","Active_Injection",0.00709578178196635,0.00592333807180661,0.00480910887033893
"No_Treatment","26_27","Male","Active_Noninjection",0.000572114210924916,0.000923224201231098,0.000890683648413514
"No_Treatment","26_27","Male","Active_Injection",0.00344494071542892,0.00555912190181157,0.00536318152283962
"No_Treatment","26_27","Female","Active_Noninjection",0.000454759961601984,0.000514340227037243,0.000647344525103531
"No_Treatment","26_27","Female","Active_Injection",0.0027383013348626,0.00309705921626912,0.0038979341342245
"No_Treatment","28_29","Male","Active_Noninjection",0.000572114210924916,0.000923224201231098,0.000890683648413514
