,Buprenorphine_healthcare_system,Naltrexone_healthcare_system,Methadone_healthcare_system,Corrections_healthcare_system,section_healthcare_system,diaspora_healthcare_system
1,54112474.6289243,17741896.7641996,2271461.47800706,0,0,0
2,53787120.2069703,19023750.1819677,1621665.63065623,0,0,0
