,No_Treatment_healthcare_system,Buprenorphine_healthcare_system,Naltrexone_healthcare_system,Methadone_healthcare_system,Corrections_healthcare_system,section_healthcare_system,diaspora_healthcare_system,Post-Buprenorphine_healthcare_system,Post-Naltrexone_healthcare_system,Post-Methadone_healthcare_system,Post-Corrections_healthcare_system,post-section_healthcare_system,post-diaspora_healthcare_system
1,2878086303.11872,344440784.455052,33165834.3832379,175166007.827881,20720727.5971154,0,0,49119878.4864985,4912758.18224838,22732769.8695318,5087664.14409887,0,0
2,2717597757.7777,342065699.46169,35638671.6504205,124587496.782602,23479385.8670184,0,0,52185831.4426851,5841602.25424364,17081876.7061367,6301894.23747565,0,0
