,total,discounted_total
healthcare_system_cost,6858212944.24422,6650889409.28664
life,19948687.1929724,19344409.6169932
utility_minimal,11998586.1638003,11633195.9653494
utility_multiplicative,10024367.7740922,9718136.53542105
