,Buprenorphine_healthcare_system,Naltrexone_healthcare_system,Methadone_healthcare_system,Corrections_healthcare_system,section_healthcare_system,diaspora_healthcare_system
1,72475833.3974754,1428358.13727245,65050229.7518358,0,0,0
2,72040068.205764,1531557.12351356,46441343.1071692,0,0,0
